# run: do-look-real-research
# time: 2025-11-20T11:22:13.426162+00:00
# command: project/eta_sweep_runner.py
# git_commit: 02a306d205aea27793f13fcdeab56cf7488e687c
# config: {"n": 1048576, "max_factor": 9, "max_eta": 0.4, "max_steps": 3, "threshold": false, "batch": 256, "max_floats": 4294967296, "device": "cuda"}
k,d,acc,eta,factor,step
1,127,1.0,0.03809523954987526,8.571428298950195,444
1,129,1.0,0.03809523954987526,8.714285850524902,445
1,131,1.0,0.03809523954987526,8.857142448425293,446
1,133,1.0,0.03809523954987526,9.0,447
1,1,0.0,0.04444444552063942,0.0,448
1,2,0.0,0.04444444552063942,0.1428571492433548,449
1,4,0.0,0.04444444552063942,0.2857142984867096,450
1,6,0.0,0.04444444552063942,0.4285714626312256,451
1,8,0.0,0.04444444552063942,0.5714285969734192,452
1,10,0.0,0.04444444552063942,0.7142857313156128,453
1,12,0.00390625,0.04444444552063942,0.8571429252624512,454
1,14,0.01171875,0.04444444552063942,1.0,455
1,16,0.04296875,0.04444444552063942,1.1428571939468384,456
1,19,0.4453125,0.04444444552063942,1.2857143878936768,457
1,21,0.7890625,0.04444444552063942,1.4285714626312256,458
1,23,0.9453125,0.04444444552063942,1.571428656578064,459
1,25,0.99609375,0.04444444552063942,1.7142858505249023,460
1,27,0.99609375,0.04444444552063942,1.8571429252624512,461
1,29,1.0,0.04444444552063942,2.0,462
1,31,1.0,0.04444444552063942,2.142857313156128,463
1,33,1.0,0.04444444552063942,2.2857143878936768,464
1,36,1.0,0.04444444552063942,2.4285714626312256,465
1,38,1.0,0.04444444552063942,2.5714287757873535,466
1,40,1.0,0.04444444552063942,2.7142858505249023,467
1,42,1.0,0.04444444552063942,2.857142925262451,468
1,44,1.0,0.04444444552063942,3.000000238418579,469
1,46,1.0,0.04444444552063942,3.142857313156128,470
1,48,1.0,0.04444444552063942,3.2857143878936768,471
1,50,1.0,0.04444444552063942,3.4285717010498047,472
1,53,1.0,0.04444444552063942,3.5714287757873535,473
